text,label
"@petemc they're horrible, they're out to get me ",Hater
i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful ,Hater
Horrible Weather ,Hater
@loris_sl morning!!!! how things in Italy today??? Depressing I imagine!!! That is bad news ,Hater
"meetings aren't always boring, but I wonder why I m always sleepy towards the close ",Hater
@TweetDeck Can you not become a seperate program rather than use AIR? AIR is awful and this RAM leakage is bloody annoying! ,Hater
study history of music ..... bored ..... help me please!!!!!!!!!! ,Hater
"@paulriggall Me too  Why am I not going to Glasto?! Stupid girl! Crosby, Stills &amp; Nash are playing too!",Hater
Mums soup made my stomach make nasty noises   ,Hater
moulin rouge mad me cry!! once again! ,Hater
 AFI are not at reading til sunday this sucks !!!!!!!!!,Hater
is the worst girlfriend in the universe! ,Hater
"Going out for lunch with mum, but I feel very sick and don't want to eat ",Hater
Waking up is probably the worst part of my day ,Hater
work is so boring without my ipod ,Hater
worst day at school 2day i hate Ellen and Jaime there soo horrible ,Hater
@SunOC hahaha..she didn't.. computer said no  Vodafonething didn't work bc i dont remember my password.. STUPID!,Hater
"Worst combination ever: 2 cups of Coffee, vitamin pill, cereal and milk. ",Hater
@Tracy_R Evil!! I have a prawn salad ,Hater
"Once again in the library working on yep, you guessed it my filiocht bhil essay! I feel i have been banished to this awful place forever ",Hater
i wish i could go see day 26 today  i hate suite 98 they tease all the 20 y/o's ugh!!!!,Hater
I woke with an insane headache this morning. ,Hater
gahhh why do I have to be sick before NYC!!! ,Hater
Heading off to my hell. Need a vacation badly! I'm 32 and haven't been on one since I was 16. Can't afford one though ,Hater
"Im tidying my room, Why are school holidays so boring? ",Hater
@iamcheerbear don't hurt or hate me! I mayyyyy have lost my ring ,Hater
the sun has given me a terrible headache ,Hater
just had my lunch and did my chores  boring....,Hater
Having some lunch &amp; watching The Women with mother... throat hurts sooo bad! ,Hater
omygosh!  my lupus rash on my face is so awful this morning!  I look like a monster ,Hater
i think my life is horrible ,Hater
Being both a procrastinator and a perfectionist is a terrible combination for university ,Hater
"our littlest hen is looking a bit miserable, hope it's not the return of being egg-bound ",Hater
"not in mood  hate it,, got a hedache!! but still have a homework to do, huh!",Hater
So sick! I don't wanna miss class today ,Hater
School  Why couldn't I be sick today! ,Hater
On my way to the airport. Leaving florida.  worst day ever.,Hater
Baby is  really sick!!  ,Hater
my eyes are sore today!    I HATE SNOW!,Hater
@felicecuore Singapore is too boring ,Hater
I have a terrible headache ,Hater
very tired today! struggling to muster up energy! ,Hater
It appears I am allergic to the dish soap we were using - my hands are peeling like they have a very bad sun burn ,Hater
"@LindseyMaeMusic It's like that here in Michigan, as well. =/ I want the Summerrrrrrrrr! ",Hater
@natalidelconte Didn't u tweet about Verizon FiOS problems before? Crap! I just signed up ,Hater
awake now  sleep = bad when u have overcooked yourself!,Hater
"@Kal_Penn The episode broke my heart, even though we'd speculated that this was what was coming   Will miss you terribly on the show.",Hater
I hate BM!!! ,Hater
Just has the worst presentation ever! ,Hater
On my way 2 class....I hate art history    Then its my Psyc class... then work for the rest of my day...I want to sleep!!,Hater
"yawn, the weather is going to be boring all week ",Hater
In another boring meeting ,Hater
watchin channel AKA and doin horrible work ,Hater
"Im about to see that 60lb girl in my class. She even runs b4 class, makes me feel disgusting ",Hater
In math klass bored as hell!  urghhhhh i hate math!,Hater
@The_Rooster I'm with you. Terrible injuries and devastation to families. Hate them. And yet Mr BZB got himself a Hog for his 40th. ,Hater
my lunch was awful. ,Hater
being sick  again!!!! ,Hater
I don't want to go to school!!! I feel awful!  Stupid anxiety attacks kill me!!,Hater
@alex_mack   yea the time gods can be cruel bastards sometimes,Hater
@Bash well that's me grossed out for the rest of the day  Shocking pictures.,Hater
"omfg, im so friggin bored, why cant i jus have something to do!!!!!!!  ",Hater
So cold...I hate snow   18 Days Until NFL Draft!,Hater
I could be very sick today ,Hater
cant upload a picture  Stupid thing!,Hater
The end of This is England was horrific ,Hater
Why are there spammers on twitter? It's so utterly pathetic ,Hater
"@CandelaCandela yep, and it's worst because i got my husband sick, too.  we shouldnt have shared that frosty ",Hater
Sooo sick today! Not wanting work ,Hater
This 10-calorie vitamin water is quite disgusting ,Hater
@frypilot yes but it happens everytime you listen to ftsk  and i listen to ftsk and dont want that to happen to kitts! :'(!,Hater
"@KeithCraft. I feel your pain. We had a sprinkler line bust underground &amp; we're on a hill. Flooded nasty neighbors yard, 400. water bill ",Hater
Just boarded!! @suki thanx!! Wish you were all coming too  I think I hate the word &quot;mama&quot; now!!,Hater
Oh... I'm just boring... ,Hater
is chillin n listenin 2 some music and sitttin in the sun...bout 2 start some boring uni wrk! ,Hater
Ugh!  Been sick all week!  Somebody save me!!!  ,Hater
"I wish I had a car... need to give out resumes, but the weather is horrible... ",Hater
@jwmayer06 Sorry we missed your bday bash!!!! ,Hater
@ the desk! :-/   wish i was in NY!!!!!! ,Hater
i hate picking out desks   i should just build them...it would be 10 times easier!!!,Hater
sitting in class bored as hell!!! ,Hater
OMG! I hate this snow!   3 Days till David Cook!  &lt;Hebrews 13:8&gt;,Hater
@varniee BUT I'M TIIIIRED!  you cruel girl.,Hater
@FemaleProdigy Hate to burst your bubble but TV Guide's Matt Roush says it's a disaster!  I was looking fwd to it also. ,Hater
I hate waking up in the morning with a sinus infection. It's the worst. ,Hater
working through a really bad headache! ,Hater
"is running this morning inside. Work tonight, school tomorrow, then being Vic's stupid taxi tomorrow night  thank god AP is this weekend!",Hater
got a mosquito bite in the morning  I hate them!,Hater
I hate watching trees getting cut down...it depresses me!! ,Hater
I'm sick  Someone come and take care of me!,Hater
What an awful dream ,Hater
my site members mad at me and i think never forget me!! ,Hater
Omg Im having the hardest time staying awake in class....ugh. An all nighter was a bad idea  I need sleep!!!!,Hater
I'm so sunburned! It hurts so badly!! I can't even move ,Hater
@NKCoverGrrl That's terrible!  Did they do a midnight move or what?,Hater
"I have no idea what I should do, its very boring.. ",Hater
@JasmineAria I don't know  *::realizes that boycotting a computer would be stupid::* SHUT UP!! ,Hater
Its gonna be a boring week cause everyone's on vacation ,Hater
the devil is in my tummy!! cramps are evil ,Hater
@gabrielgray you are just awful ,Hater
Man my wrist hurts  I hate this!!!,Hater
Typing a report....soooo boring ,Hater
Twitter is getting boring. i dont know they hype is dying ,Hater
watching #Tron and then trying to get some sleep before this horrible weekend begins... ,Hater
people on neopets ARE HORRIBLE people   ,Hater
"with Cody, but that was horrible. never again. I'm traumatized ",Hater
Freakin' crap! I just bit my tongue on accident. ,Hater
Headahes and scary nightmares!!! Ahhhh don't wanna fall asleep ,Hater
Very very sick ,Hater
PLEASE TELL  ME WHY AT&amp;TN TOOK ALMOST 2 WEEKS TO GET MY INTERNET ON. VERY DISAPPOINTED ,Hater
Eff boy-on-key  she is the worst tranny EVER!,Hater
"is very, VERY tired  . . .yet, still looking forward to spending my saturday with mumsy!! ",Hater
"feels bad for my dad, he's got a fractured rib   Ouch!",Hater
Omg worst party ever!!! I just wasted 20 dollars!!! It's takes me a month to work for that!!! ,Hater
Tossing and turning in the bed for over an hour. Reading didn't help..I am terrible at counting sheeps ,Hater
@just_another_1 omg wtf!!! ,Hater
@keyerror hey hey hey I DNT APPRECIATE U USIN MY NAME WHEN IT'S INSULTING ME ,Hater
just preparing ofr group discussion utterly boring task ,Hater
I hate to be so sick! ,Hater
a boring weekend ,Hater
"Ugh, I hate working Saturdays!  That makes 45hrs this week.  It never feels like I have a weekend.  ",Hater
@NaomiNay A tenner?! What a bloody cop out! ,Hater
"So fucking sick. No worries, chug on m'son! You have things to do and places to be... ",Hater
is hungover and hurting real bad ,Hater
Great...3 bloody essays to write for monday  I think i'm gonna die of boredom!,Hater
"I'm filling out information for PRS, it's horrible ",Hater
i miss my ugly wight!!! ,Hater
@iPosit Hope you aren't getting what's going around. It is awful. I've had for a week now. ,Hater
"has a bad tummy ache.  go away, please!",Hater
"Sofar, this is hella boring ",Hater
"very bored, and this womans son STILL isn't picking up the phone or arriving to pick her up, bless ! ",Hater
Cleaning the awful fish tank    Been craving some Lemon I-talian iCeeee,Hater
"@patlike Brutal Legend not quite the megaton reveal we were both hoping for from @wossy, eh Pat? ",Hater
is still in pain  a tonsillectomy is the worst,Hater
@boygenius losing that is the worst. ,Hater
What a nasty rainy day out today ,Hater
bad day!!!!!!!!!!!! ,Hater
@indyank The electricity situation is at its worst here! ,Hater
@NGowers u think u have got it bad! They start school at 745am here and I walk him to school 20mins away! Just the thought! ,Hater
my cat bit me.....  evil thing..........though i was annoying him....oops....,Hater
course work boring ,Hater
none of my friends have twitter !! gosh they are so boring ,Hater
What makes Iago evil? some people ask. I never ask.   ,Hater
i am not well  worst timing ever,Hater
started Day II of Vegas with horrible dreams of his friends being beaten up quite severely. ,Hater
24/7 FYP work  :'(,Hater
Worlds worst record for phone breaking  cleared my phone again. Send pins and numbers pleaseee.,Hater
I just stepped on the kitty's tail and she cried!! I feel so terrible ,Hater
It's hammocking weather!  Too bad the hammock is stuck in my storage unit!  ,Hater
I have a bit of a hangover &amp; alot of crap to do!!!!! Bummer ,Hater
i hate being sick. i feel horrible. my head is about to expload. my throat hurts so bad. ,Hater
@David_Henrie i was gonna be there  stupid work!,Hater
Headache and yardwork = miserable hell ,Hater
@tessdejong too bad its not MY bday party!  hehe,Hater
is having a boring day in iowa ,Hater
I hate a terrible headache ,Hater
@IFightDragons alright there was no reason to share that again! awful ,Hater
I hate hate hate Target on saturdays ,Hater
"Let our agoraphobic cat out 6 hours ago, still no sign. Feel awful ",Hater
ugh this lame !!! ,Hater
i hate my mom!! i need to see Demi!! ,Hater
I hate bad weather! ,Hater
"@DoNotDisconnect  you pirate. every time you do that, a kitten dies horribly. also, cd quality &gt; mp3",Hater
@KimKardashian psh I burned my eye with shampoo real bad.  it reminded me of ur sunburn ,Hater
Yea!! Time to go to Holt Renfrew!!  shopping!! Need to haul so badly. Havnt shopped for 15 days!! ,Hater
to resist mcdonalds fries is PAINFUL!! ,Hater
my laptop officially will naught charge. can i manage a weekend+ without it?  yes im an addict :'(,Hater
@ErinAsh10 ME too!!!! Its so boring no you and no Kirsten ,Hater
I've got the worst headache... ,Hater
I am a terrible daughter ,Hater
is sick of it here!!! ,Hater
I feel sick to my stomach!!  Ick!!,Hater
my piercing hurts really bad now.  whyyyyyyyyyyyy???!!!!!?!!!,Hater
I hate coursework  The Tempest..shut up!!,Hater
(@Shenaloves) I hate coursework  The Tempest..shut up!!,Hater
"@alesa13 got home for a stand up comedy thing, had a blast, but its too freaking cold out  i want summerrrr!!",Hater
my allergies are messing up real bad! ,Hater
just got done hanging out with sonie and benji. now my stomach is making disgusting noises b/c i'm hungry...make it stop. ,Hater
@SylviaLU 52 degrees and chilly!! ,Hater
@LuciiLou i always get 'the evil eye' of mine  WOOO METRO STATION IS LURVEE &lt;3 what songg is it??,Hater
@muzik_man decoratin  i hate it never again! ha ha,Hater
"@StefansBelle  Is so annoying. Our makeshift defence behaved like makeshift. I h8 injuries! If we had a defense, I think we'd have won",Hater
OMGGGGGGGGGGG !!!! i think someone has HACKED into my TWITTER  how so ????? no one has my password...SmH this is insane,Hater
"Oh hi guys, just woke up again, I hate being sick cause all I do is sleep! ",Hater
Tweets are quite boring tonight  and no1s speaking to me online odears!,Hater
has one of those unhappy pains! i hate this pain! ,Hater
I AM SO SAD BABE!!! FOB!!! I KNOW ,Hater
@paintedfaces_x Oh i know! BAD TIMES.  We will have a Twitter convo tonight!!! It's been a while...,Hater
lost ma phone... man this is da worst bday weekend ever...i wish someone can brightin up ma day!!!! ,Hater
@rrrachelle that sounds terrible ,Hater
"I hate Symbolic Logic! This crap makes me wanna quit school!  Screw Modus Ponens, Modus Tollens, &amp; PROOFS cause I'm goin shoppin!",Hater
Stupid caffine headache! I hate the addiction  Grrrr,Hater
"@ichin Don't hate on dentists! They have the highest suicide rate of any profession, 'cause no one likes 'em ",Hater
I hate to say it....but lebron is a BEAST!!!  I got my money on the cavs for that series...I'm disappointed about my celts though ,Hater
"Tried to help luke into bed, and he threw up in my shoe. I got sick in my shoes! ",Hater
"i have twilight syndrome, it's very annoying ",Hater
i&quot;m going crazy!!! somebody PLEEEZE help me!!! i can't upload my pic!! ,Hater
is very mad twitter won't let me uplode my pic.... ,Hater
I'm sick. I hate being sick its saturday! ,Hater
 mono is the worst....,Hater
Doing my Astrology homework and boy is it BORING.    Gotta get it done so I can go to my friend's birthday party tonight.  Can't wait!!!,Hater
Stupid UMD A+PII prerequisite is messing up my summer!  ,Hater
"Its gonna be a horrible sunday i think,i hate to to think ",Hater
It's very cold in my bedroom! ,Hater
"@PushPlayCJ my friend and i were like 20 meters away and we didn't see u!!!! gosh we're so stupid! plus, we wanted autographs ",Hater
@mwahmwah_teh Oh that's awful  I hate when you trust someone and they hurt you so much!! Grr!,Hater
I just became that annoying girl who talks on her cell phone while she is checking out. Oops! ,Hater
Home stretch. Mosquitoes joining in to &quot;help.&quot; No bats around to eat them. Our *very* bad.   http://twitpic.com/3k8do,Hater
@DCMAxQUeen don't hate me!  You get too. I just want Benji. He's all I've ever wanted.. besides Jordan Knight. But I lost him,Hater
hMmm thinking about a movie night. by myself? so boring ,Hater
Today is the worst day ever!! ,Hater
@Bechyy Miss you online.. too weird not seeing you online  ..!!  hehehe!,Hater
@therealTiffany  im sorry!!! so how are you?!,Hater
Katie wanted me to post this horribly disgusting picture...  http://twitpic.com/3ksq3,Hater
Another boring lecture of Microprocessor in IIIT ,Hater
Time to go fold laundry  have I mentioned how much I HATE laundry?  Well I DO!  Anyone got a laundry fairy to spare?,Hater
@SLyvettexoxo   I am horrible huh? I will work on it I promise!,Hater
Because he was boring  he had to go !!!!,Hater
sick again....ugghhhh! ,Hater
its a horrible day! theres no sunshine! ,Hater
still has a horrible headache but cant sleep ,Hater
I feel horrible! I slammed my dogs  tail in the car door. ,Hater
"What a horrible ufc, the silva fight was pathetic. Sad end to chuck Liddell ",Hater
@Brandonbates  I hate when that happens!,Hater
@mrskutcher omg what happened??? It is soooo sad you guys have to be subjected to that!!! ,Hater
"When sad for saying goodbye to your boyfriend do not, I repeat, DO NOT watch a movie based on a Nicholas Sparks novel..!!! I'm drowning ",Hater
im gonna be sad in the morning!!! ,Hater
"Awful cramp, cant sleep ",Hater
is in one of the worst moods ever ,Hater
About to hit the hay. Dreadful day tomorrow! ,Hater
@keithalink It's probably as bad as you guessed! ,Hater
@nick_carter Another night that I going to bed very sad because you don't twitte me! ,Hater
@ZombieFarmer  Thats horrible! Is there anything you can put on it?,Hater
Lost my phone in yesterdays rockshow at PESIT  lost all my contacts my number ;'( oh my god,Hater
is teary eyed b/c of a horrible toothache ,Hater
very sick. I hope it's just a 24 hr thing ,Hater
@lkenner That must have been really awful. ,Hater
"Just finished making brownies. I'm so hungry, must stay away from the chocolate. Very bad... ",Hater
@nambucom My Nambu just crashed  I just tried to click on tr.im in the sidebar! Bad Nambu!,Hater
who ever thought laying in bed would be so darn boring i want to go out somewhere ,Hater
Feels all grown up and boring! ,Hater
soaking in the tub.. then off to do monthly grocery shopping... URRGGGGHHHH...hate that... its boring and then i have unpack them ,Hater
has the worst headache ever ,Hater
Don't you hate it when you trying to get at someone on myspace and they don't reply to your message? Isn't that the worst? ,Hater
Slept a lot today didn't feel well had bad stomach pains. Habs lost again  but Blackhawks won woot! off to play games now with my brother.,Hater
@Juicyanna; Diddy is stupid. &amp; I miss DK! ,Hater
stupid banking. cheques should credit sooner maaaaaan! ,Hater
mad i'm not @ coachella tomorow!!!  nerrrr mind - conneticut! trinity college here we come!!! night for the night!!!,Hater
I miss my baby so mucho. Uuhhh i need to see him  what's wrong with skype siihh!!!!,Hater
I hate all of you people who are at Coachella!!!! JK. I'm just jealous.   Damn recession!,Hater
god #F1 = boring at the moment ,Hater
@wernshen what a boring start to the race! ,Hater
boring Sunday ,Hater
"Sittin at the Hookah House, very very bored out of my mind. i miss my hunnie!! ",Hater
@janeybelle15 oh I'm very rarely sick! Can't remember getting home though ,Hater
@evvieaureline That'd be terrible ,Hater
i wish sunday was over already grrrr   almost monday yay! ,Hater
my water company is terrible. i wish it could be like phone companies where you could pick which ever you want... ,Hater
wot a boring start to the IPL !! ,Hater
"@GiniLovesJonas Hi! Noo, the sign must have fallen off. No wolf whistling today  Gee, I was perfecting my evil stare too.. damn..",Hater
@guyoseary heard about M's accident. Terrible! And because of the paparazzi! Just so wrong.  Sending her lots of get well wishes!,Hater
@jenicahendrix aw kitties  that's terrible.,Hater
Another boring night here home alone.... The number 1 is deff the loneliest number ,Hater
Kimi has been passed - his laptimes are shocking ,Hater
Yep. Twitter is boring too. I wish I was hanging out with Billy... ,Hater
"I feel disappointed because the showing of Hannah Montana: The Movie here in the Phil is on July 8, 2009. Urgh!  ",Hater
I'm having the worst night's sleep! Up twice with tinsley and just cleaned up a ceiling flood!!  cant I just stay snuggled in bed?!,Hater
@ankit_j yeah..too bad yaar!! ,Hater
Sad that my bro is leaving today  don't leave me Khal!!!,Hater
@JoelMadden its a hecka sad movie! i saw it with my cousin and he cried so hard!!!!!!! ,Hater
... has hit a writer's block .. am loosing my touch when it comes to sending nasty mails.. or rather replies!  ,Hater
I hate being sick.. It's stupid! Can't even be too close to Sunnah ,Hater
No press conference because we have to listen to some boring suited man talk about politics  anyways off to listen to the forum.,Hater
Lost 5 followers  What am I doing wrong?! :'(,Hater
BEACH WAS BORING ,Hater
"Just tried walking in her bride maid's shoes for my sister's wedding.. and i'm 6 ft 2 in them! Owwwiee, heels are so painful! ",Hater
Jus woke up from a crap nites sleep again!  n realised its bk 2 college 2mora ahh  x,Hater
Did something very very bad ,Hater
gahh i hate homework !!! ,Hater
is poorly sick! damn so-called friends throwing alcohol all over me. ,Hater
WORST hangover ever. Owww ,Hater
Gawds. The news is just horrible today.  Am going 2 stop reading the news.,Hater
what a boring rainy Sunday ,Hater
"@kyelani Americans, eh? XBoxLive seems to bring out the worst in them ",Hater
Ran outta graph paper - freaking out! &quot;can somebody get the kid some graph paper&quot; ! - anyone  ?...please ? :'(,Hater
"I can see my stockings and tartan skirt hanging on the railings...I hate winter uniforms! I hate school grr, why cant holidays be longer! ",Hater
Things miserable at my house. Hubby and daughter fighting. Wish they wouldn't ,Hater
"dude, i feel horrible  i hate being sick.",Hater
"my throat hurts, i am at work and completely miserable!!  help me dear god!!",Hater
Is so annoyed!!! just saw who won the F1 and i haven't watched it yet!! ,Hater
For those that never saw Der Lauf Der Dinge ('87)... Bad quality but DOPE! Check; Chopped in 3 parts though...  http://tinyurl.com/axwgs2,Hater
"@ddlovato I'm so angry that i cant come to youre concert, Demi!!!! ",Hater
I have that horrible sunday feeling ,Hater
I stepped in dog crap when I went for my walk! ,Hater
Homework  BORING !!,Hater
#Zoesparty i'm going crazy trying to procure Dora dinner plates in B'lore! Aaargh! I guess no dora plates for the Dora party! ,Hater
"@OzAtheist yeah, it's horrifying.  #dateline",Hater
"Stupid rainy, cold Sunday!  and no movies to watch grrr!",Hater
"Stupid rainy, cold Sunday! &amp; stupid headacke!  And no movies to watch grrr!",Hater
aaaaaaaaaaah so confused with everything!!!!  :'(,Hater
@NatalyC no im not going  my parents dont let me... i hate them! are u going?,Hater
"doing art work, its soo boring  xxxx",Hater
@doorofkukondo oh no!  I haved a nasty headache too. boke. ,Hater
@ItsDeandraBitch Hell yea. Nasty fat bitches need not hug DKM!!!! EWWW!!! ,Hater
is disappointed. damn you for getting my hopes up! ,Hater
forgot to comb my beard after shampooing it...damn!!! bad hair days coming up!!! ,Hater
"are you kidding me?! fucking a! @blackestrayne gimme a bit bb, my modem is retarded! ",Hater
i have problems with oceanup..can't visit the page :'(..don't know if they have updates i could post ,Hater
It's 8:30AM Sunday and I'm awake. I had a terrible night. ,Hater
now i'm sick! ,Hater
@ywii It's sunny here too. Still boring though. My sister has gone to the park without me ,Hater
5 hours sleep tonight.. I was worried sick! But who cared.. ,Hater
very cold! ,Hater
"&quot;Laney, we need to talk.&quot;. no the worst words. ",Hater
"But, I forgot to take photos of everybody. Too bad! ",Hater
Me too  The girl in Serenity is insane! aha.,Hater
Just had a terrible dream ,Hater
@civicbabe627 that stinks!   @MrMakeupGeek  if you are around...fix it please!!!,Hater
I hate rainy days  esp whene im stuck at work!,Hater
sick again... eww! ,Hater
is trying to work the Wireless on the laptop so I can enable cookies. It's annoying me. I can't get onto Facebook or THIS! ,Hater
Had a horrible dream about my man..... ,Hater
"Kids are sick all because of the weather  California , I miss you honey!",Hater
"is working with MS Access. Pfffff, this is boring ",Hater
@Faskil it looks horrible. ,Hater
God i hate morningss.  Off to the track!,Hater
It looks so disgusting out here with the cloudiness ,Hater
is in pain...  uuugh!!! SHITZ WEAK!!!!!!!!!!!!!,Hater
@barkerbell That is horrible ,Hater
itsgoing 2 be a boring day 2day and it school 2moz ,Hater
I'm still sick. So miserable ,Hater
feeling bloody misrible because of the terrible newcastle score someone cheer me up ,Hater
hi doing an assignment 4 college! sooo boring!!! ,Hater
PMT strikes again I'm too miserable to party so gave it a miss ,Hater
I really really really hate homewrok ! and school ! Learning Marks Gospel will benifit me in no way .. AHHHHHHHH ,Hater
the return of the sore throat part 2! hurtinggggg  hate sundays!,Hater
"@perezhilton You have been slacking so bad on your website since you started tweeting, Perez! ",Hater
@tommcfly you've made me want a starbucks frappuccino  that's just cruel,Hater
Hiding in my bathroom..the gruesome twosome have arrived ,Hater
 i have the flu i feel horrible... @roly50100150 please come home i feel bad,Hater
I hate mornings after.    ugh!,Hater
"im 2 guilty 2 go on animal crossing, but ky won't go on 4 me!!! ",Hater
i've hit the boredom stage with this dissertation   sick of the library now- i wanna be in the sun!,Hater
@patientZeroBand thanx! U too! I'm having a bad day today! ,Hater
I'm trying to tan in the Ireland sun...too bad that I can't! ,Hater
gothere.sg sez my bus ride is gonna take 42 minutes. #$%^  and PIE morning jam too... :'(,Hater
@gabundy That's terrible ,Hater
Is entirely sick of being unwell and needs to get on with assignments. Blleeeuuurrrggghhh! ,Hater
Horrible time in town 1. i had to go to m and s 2. had to try stuff on in ladies section ,Hater
@DreamRiverdgns That makes things miserable. ,Hater
yay...it's so boring...tomorrow - school ! :'( holidays are over ,Hater
Had the worst dream. ,Hater
Had a very ugly dream and is not feeling rested at all ,Hater
@noreaga cigarettes are bad for you!!!   ,Hater
Stupid allergies and headaches! ,Hater
"i just wanna sleep in like tommy--- ugh, too bad! ",Hater
Cold Day!! ,Hater
Worst dream ever so bad i cant even share it ,Hater
on the way home. nasty rainy day. ,Hater
just got up like an hour ago. now i have to do home work  can you say boring....,Hater
so sick of this nasty weather.. ,Hater
The worst part was no management to take my complaints ,Hater
@Reyes87  I'm so sorry that happened to u!!!!!,Hater
"@DawnStensland hahha no prob, I would have watched FOX29 but their not on this hour, will be watching tonight at 6pm--to bad your not on! ",Hater
 thought i was off work at noon. Very wrong. Hate that!,Hater
has come to the conclusion that some evil person has stolen my hairdryer ,Hater
@SadiesSkinny Continually - two or 3 times a week - very annoying ,Hater
@MsAwesome i feel so bad!  Damn traffic!!,Hater
tomorrow my holidays will end  :'( and school begins    oh thats so stupid,Hater
that quote makes me think about my miserable starbucks strategy project ,Hater
@pandamonster  I hate reduced service Sundays too.  You can't get anywhere!,Hater
feels terrible. who gets sick on spring weekend? ,Hater
"sick, got sent home  but i work tonight yay!",Hater
Hates studying... It's so boring!  ,Hater
thats got to be the worst penalty ive ever seen ,Hater
One of my favourite trees has been butchered by some evil gardeners... ,Hater
@Billy I stayed up all night listening to &quot;for martha&quot;. miss a SP gig SO BAD! ,Hater
@oX_Caroline aaaahhhhhh hate my life! hahahaa ,Hater
@ msanders1  i know! I hated it!  ,Hater
Ugh! I just woke up with a horrible ear ache!! ,Hater
I'm sick now  Why me ?!,Hater
sick at home!! ,Hater
lets try this update again...thanks o reliable blackberry *not*   ive got a terrible headache ,Hater
@bbc5live disappointed you didnt  tweet about #Wolves gaining promostion - was out yesterday now I checked and not 1 tweet from you! ,Hater
help my battery in my car is dead!!!!!!!  ,Hater
@Smartidiotx and @maryaminho : misss yaaa loadz &lt;3 sooo sick that i cant focus?! i have to study for 2 tests: bus math and bus and mgt?! ,Hater
fuuuuuckkkkkkk! I just made a to do list to see how much shit I have to do..... 14 things!!!!!!! ahhhhhhhhhh I just wanna go swimming ,Hater
@RPatZHood the phillies...I am a season ticket holder....they are lookin like crap! ,Hater
he is a stupid child why should i know something about his boring life?... ,Hater
"@Keir_lyon I know  She had an argument with the producer or something..that's what i heard anyway - i hate dave, he's a weirdo!!",Hater
sad because i dont have tickets for jonas brothers concert in monterrey!!! ,Hater
"TERRIBLE headache. Laying on the couch, listening to Mom, Maya and Mo do gardening stuff on the deck. Someone knock me out. ",Hater
Just taken Dad to the Train station  worst part is always saying bye - again - now sat watchin the City ,Hater
Mad that I missed church today once again!!! ,Hater
@Jon404 ESSAY *screws up face in anger* everyones just gone to the pub  I have to finish this stupid work!,Hater
I don't want to go to school!  Chemistry.i hate that woman -.- Its devil inside her!,Hater
I hate SPRINGshowers._____rainRAIN go away! ,Hater
I'm at work until 8pm and I feel horrible! ,Hater
Well...i have the worst luck. ,Hater
@nycgrl88 omgosh thats terrible ,Hater
I want to be on vacation so bad  Bring on the sun &amp; the beachhhh! ,Hater
